year,month,day,vis
2007,10,1,9
2007,10,1,3
2007,10,2,7
2007,10,2,10
2007,10,3,1
2007,10,3,8
2007,10,4,3
2007,10,4,6
2007,10,5,6
2007,10,5,10
2007,10,6,4
2007,10,6,7
2007,10,7,16
2007,10,7,3
2007,10,8,21
2007,10,8,10
2007,10,9,7
2007,10,9,12
2007,10,10,3
2007,10,10,13
2007,10,10,4
2007,10,11,5
2007,10,11,3
2007,10,12,2
2007,10,12,4
2007,10,13,1
2007,10,13,11
2007,10,14,10
2007,10,14,8
2007,10,15,11
2007,10,15,7
2007,10,16,5
2007,10,16,12
2007,10,17,7
2007,10,17,17
2007,10,18,1
2007,10,18,5
2007,10,18,4
2007,10,19,3
2007,10,19,8
2007,10,19,11
2007,10,20,12
2007,10,20,9
2007,10,21,7
2007,10,21,7
2007,10,22,6
2007,10,22,7
2007,10,23,5
2007,10,23,8
2007,10,24,8
2007,10,24,9
2007,10,25,8
2007,10,25,11
2007,10,26,11
2007,10,26,9
2007,10,27,10
2007,10,27,12
2007,10,27,9
2007,10,28,11
2007,10,28,7
2007,10,29,14
2007,10,29,10
2007,10,30,5
2007,10,30,14
2007,10,31,6
2007,10,31,10
2007,11,1,6
2007,11,1,10
2007,11,2,4
2007,11,2,10
2007,11,2,11
2007,11,3,20
2007,11,3,11
2007,11,3,3
2007,11,4,11
2007,11,4,3
2007,11,4,3
2007,11,5,8
2007,11,5,5
2007,11,6,10
2007,11,6,4
2007,11,7,11
2007,11,7,16
2007,11,8,5
2007,11,8,4
2007,11,9,18
2007,11,9,46
2007,11,9,24
2007,11,10,13
2007,11,10,12
2007,11,11,4
2007,11,11,15
2007,11,12,13
2007,11,12,12
2007,11,12,3
2007,11,13,10
2007,11,13,16
2007,11,14,3
2007,11,14,9
2007,11,15,6
2007,11,15,15
2007,11,16,6
2007,11,16,14
2007,11,17,7
2007,11,17,11
2007,11,18,7
2007,11,18,10
2007,11,19,6
2007,11,19,4
2007,11,19,9
2007,11,20,6
2007,11,20,8
2007,11,20,9
2007,11,21,6
2007,11,21,5
2007,11,22,3
2007,11,22,7
2007,11,22,5
2007,11,23,3
2007,11,23,7
2007,11,24,7
2007,11,24,10
2007,11,25,6
2007,11,25,12
2007,11,26,13
2007,11,26,14
2007,11,27,1
2007,11,27,10
2007,11,27,12
2007,11,28,2
2007,11,28,9
2007,11,29,2
2007,11,29,3
2007,11,29,3
2007,11,30,3
2007,11,30,1
